ID,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,Creditability,Predicted,Confidence,Level,Confidence_Score
384,18.20%,0,104.10%,700,High Risk,Low Risk,0.96,5,9
385,3.50%,0,1.30%,2716,Low Risk,Low Risk,0.9,5,9
386,3.10%,0,5.00%,800,Low Risk,Low Risk,0.9,5,9
387,4.50%,0,17.60%,11000,Low Risk,Low Risk,0.96,5,9
388,0.80%,0,11.70%,3100,Low Risk,Low Risk,0.94,5,9
389,93.10%,4,918.40%,450,High Risk,High Risk,0.94,5,9
390,2.00%,0,18.80%,5000,High Risk,Low Risk,0.97,5,9
391,100.00%,2,13.80%,3676,Low Risk,High Risk,0.94,5,9
392,10.00%,0,24.80%,4250,Low Risk,Low Risk,0.93,5,9
393,100.00%,2,22.10%,1615,High Risk,High Risk,0.91,5,9
394,4.70%,0,0.40%,10500,Low Risk,Low Risk,0.91,5,9
395,80.90%,1,111.90%,4000,High Risk,High Risk,0.92,5,9
396,100.00%,4,27.80%,2872,High Risk,High Risk,0.91,5,9
397,85.10%,2,46.50%,3300,High Risk,High Risk,0.99,5,9
398,14.50%,0,268.80%,900,High Risk,Low Risk,0.97,5,9
399,100.00%,3,98.20%,3330,High Risk,High Risk,0.98,5,9
400,0.20%,0,0.20%,3917,Low Risk,Low Risk,0.97,5,9
